animal	sex	tx	bleed_day	weight_day	weight_g	delta
116329.3	F	mino	5	1	21	0
116329.3	F	mino	5	2	20	-0.04761904761904767
116329.3	F	mino	5	3	20.8	-0.00952380952380949
116329.3	F	mino	5	4	21	0
116329.3	F	mino	5	5	21.3	0.01428571428571423
116329.4	F	mino	5	1	20.7	0
116329.4	F	mino	5	2	20.6	-0.00483091787439604
116329.4	F	mino	5	3	20.5	-0.0096618357487922
116329.4	F	mino	5	4	21	0.01449275362318847
116329.4	F	mino	5	5	21.1	0.01932367149758462
116329.5	F	mino	5	1	20.5	0
116329.5	F	mino	5	2	19.5	-0.04878048780487809
116330.1	F	mock	10	1	20.3	0
116330.1	F	mock	10	2	20.8	0.02463054187192126
116330.1	F	mock	10	3	20.7	0.01970443349753692
116330.1	F	mock	10	4	21.3	0.0492610837438423
116330.1	F	mock	10	5	21.2	0.04433497536945796
116330.1	F	mock	10	10	19.5	-0.03940886699507395
116330.2	F	mock	10	1	22.4	0
116330.2	F	mock	10	2	22.8	0.01785714285714301
116330.2	F	mock	10	3	22.8	0.01785714285714301
116330.2	F	mock	10	4	22.8	0.01785714285714301
116330.2	F	mock	10	5	22.9	0.0223214285714286
116330.2	F	mock	10	10	21	-0.06249999999999989
116330.3	F	mock	10	1	18.2	0
116330.3	F	mock	10	2	18.6	0.02197802197802212
116330.3	F	mock	10	3	18.7	0.02747252747252737
116330.3	F	mock	10	4	19.3	0.06043956043956045
116330.3	F	mock	10	5	19.3	0.06043956043956045
116330.3	F	mock	10	10	19.1	0.0494505494505495
116330.4	F	mock	10	1	19.6	0
116330.4	F	mock	10	2	20.3	0.03571428571428559
116330.4	F	mock	10	3	20.3	0.03571428571428559
116330.4	F	mock	10	4	20.6	0.05102040816326525
116330.4	F	mock	10	5	20.4	0.04081632653061207
116330.4	F	mock	10	10	19.6	0
116330.5	F	mock	10	1	20.3	0
116330.5	F	mock	10	2	20.4	0.00492610837438411
116330.5	F	mock	10	3	20.4	0.00492610837438411
116330.5	F	mock	10	4	20.2	-0.00492610837438434
116330.5	F	mock	10	5	20.8	0.02463054187192126
116330.5	F	mock	10	10	18.8	-0.07389162561576357
116331.1	F	mock	10	1	19	0
116331.1	F	mock	10	2	19.7	0.03684210526315779
116331.1	F	mock	10	3	19.5	0.02631578947368429
116331.1	F	mock	10	4	19.5	0.02631578947368429
116331.1	F	mock	10	5	20.2	0.06315789473684208
116331.1	F	mock	10	10	20.1	0.05789473684210544
116331.2	F	mock	10	1	18.8	0
116331.2	F	mock	10	2	18.8	0
116331.2	F	mock	10	3	19.1	0.01595744680851063
116331.2	F	mock	10	4	19.1	0.01595744680851063
