gene	base_mean	l2fc	lfc_se	stat	pvalue	padj
Styx	2.714364019710033	-0.06628921348692172	0.7968723762480822	-0.0831867378802005	0.933703057826518	1
Suco	7.408559793920286	0.12727770732773663	0.4451825787060858	0.28590001814012295	0.7749546998515358	1
Sufu	8.33787401769714	0.1354658228803836	0.411072263962276	0.32954260055067897	0.7417455998343745	1
Sugct	6.405206355190308	-0.522748034463057	0.547462393663189	-0.9548565171120468	0.3396502617956368	1
Sulf1	5.0258185236378505	0.2703564261659023	0.6474860302844501	0.4175478906427229	0.6762777026832711	1
Sult1a1	16.29744881250992	1.3569709516600788	0.32495629095043044	4.175856844288865	2.9686647868495908e-5	1
Sult2b1	18.077010487665884	0.3067313557505241	0.2748511323489678	1.1159908752388883	0.26442604046417484	1
Sumf1	14.459514503274669	0.10268553580585732	0.3091720236085682	0.3321307491128753	0.7397905323233536	1
Suox	10.23864679532965	0.4359540674104692	0.37226511550359026	1.1710849318253262	0.2415646399652948	1
Supt20	11.509658074272595	-0.09012692789463292	0.35578453360541934	-0.25331884717222597	0.8000218330392507	1
Supt3	8.195232139732337	-0.19544024295367363	0.428917294785415	-0.45565950669219657	0.6486348448547297	1
Supt7l	11.61607459761205	0.32568156898806183	0.344133985296403	0.94638013943189	0.34395473152232175	1
Supv3l1	16.148633928458466	0.05587076174156441	0.2930054017893494	0.1906816782228869	0.8487749939666009	1
Surf6	19.570300782055995	0.20072460165799297	0.26378351535123573	0.7609444486730799	0.44669024822428954	1
Susd1	4.603616759996211	0.17246132591474203	0.5737023969315556	0.3006111301558972	0.7637110431904808	1
Susd2	5.143919454969096	0.2540941265213653	0.5434349844381877	0.4675704247934132	0.6400918188818809	1
Susd3	5.215344192853858	-1.1776233607401014	0.6327301434970851	-1.861177901579659	0.06271905798130517	1
Susd5	3.2535323860909195	-0.3821708343033645	0.7347230226791646	-0.5201563344371326	0.6029546167616063	1
Suv39h1	19.72078165585174	-0.1389470214416825	0.2789368761452263	-0.4981307002568597	0.6183919232340336	1
