animal	day	weight	delta
116328.1	1	22.9	0
116328.1	2	21.7	-0.05240174672489084
116328.1	3	21.8	-0.048034934497816484
116328.1	4	21.9	-0.04366812227074235
116328.1	5	22.5	-0.017467248908296873
116328.2	1	20.6	0
116328.2	2	20.1	-0.024271844660194164
116328.2	3	20.1	-0.024271844660194164
116328.2	4	20.3	-0.014563106796116498
116328.2	5	20.6	0
116328.3	1	22.1	0
116328.3	2	21.3	-0.03619909502262442
116328.3	3	20.7	-0.06334841628959287
116328.3	4	21	-0.04977375565610864
116328.3	5	20.8	-0.05882352941176472
116328.4	1	21.6	0
116328.4	2	20.7	-0.04166666666666674
116328.4	3	21.1	-0.02314814814814814
116328.4	4	21.6	0
116328.4	5	20.5	-0.05092592592592604
116328.5	1	20.7	0
116328.5	2	19.6	-0.05314009661835739
116328.5	3	19.4	-0.06280193236714982
116328.5	4	20.2	-0.024154589371980673
116328.5	5	21.2	0.024154589371980784
116329.1	1	21.6	0
116329.1	2	20.6	-0.04629629629629628
116329.1	3	21	-0.02777777777777779
116329.1	4	20.4	-0.05555555555555569
116329.1	5	21.2	-0.0185185185185186
116329.2	1	21.6	0
116329.2	2	20.7	-0.04166666666666674
116329.2	3	20.8	-0.03703703703703709
116329.2	4	21.1	-0.02314814814814814
116329.2	5	21.1	-0.02314814814814814
116329.3	1	21	0
116329.3	2	20	-0.04761904761904767
116329.3	3	20.8	-0.00952380952380949
116329.3	4	21	0
116329.3	5	21.3	0.014285714285714235
116329.4	1	20.7	0
116329.4	2	20.6	-0.004830917874396046
116329.4	3	20.5	-0.009661835748792202
116329.4	4	21	0.01449275362318847
116329.4	5	21.1	0.019323671497584627
116329.5	1	20.5	0
116329.5	2	19.5	-0.04878048780487809
116330.1	1	20.3	0
116330.1	2	20.8	0.024630541871921263
116330.1	3	20.7	0.019704433497536922
116330.1	4	21.3	0.049261083743842304
116330.1	5	21.2	0.04433497536945796
116330.1	10	19.5	-0.039408866995073955
116330.2	1	22.4	0
116330.2	2	22.8	0.017857142857143016
116330.2	3	22.8	0.017857142857143016
116330.2	4	22.8	0.017857142857143016
116330.2	5	22.9	0.022321428571428603
116330.2	10	21	-0.06249999999999989
116330.3	1	18.2	0
116330.3	2	18.6	0.021978021978022122
116330.3	3	18.7	0.027472527472527375
116330.3	4	19.3	0.06043956043956045
116330.3	5	19.3	0.06043956043956045
116330.3	10	19.1	0.0494505494505495
116330.4	1	19.6	0
116330.4	2	20.3	0.03571428571428559
116330.4	3	20.3	0.03571428571428559
116330.4	4	20.6	0.05102040816326525
116330.4	5	20.4	0.04081632653061207
116330.4	10	19.6	0
116330.5	1	20.3	0
116330.5	2	20.4	0.004926108374384119
116330.5	3	20.4	0.004926108374384119
116330.5	4	20.2	-0.0049261083743843415
116330.5	5	20.8	0.024630541871921263
116330.5	10	18.8	-0.07389162561576357
116331.1	1	19	0
116331.1	2	19.7	0.03684210526315779
116331.1	3	19.5	0.026315789473684292
